source,node_id,temperature,n,think_leak_rate,raw_json_valid_n,raw_json_valid_rate,strip_json_valid_n,strip_json_valid_rate,valid_gain,raw_scorable_n,raw_acc,strip_scorable_n,strip_acc,acc_gain
artifacts_py,eve,0.0,3945,0.4578,1656,0.4198,1656,0.4198,0.0,1656,0.2192,1656,0.2192,0.0
artifacts_py,eve,0.1,31,0.1935,19,0.6129,19,0.6129,0.0,19,0.1579,19,0.1579,0.0
artifacts_py,eve,0.2,1,0.0,1,1.0,1,1.0,0.0,1,0.0,1,0.0,0.0
artifacts_py,eve,0.7,22,0.4091,8,0.3636,8,0.3636,0.0,8,0.375,8,0.375,0.0
artifacts_py,runpod-mi300x,0.0,772,0.3756,349,0.4521,349,0.4521,0.0,349,0.2865,349,0.2865,0.0
artifacts_py,zorya,0.0,392,0.4464,168,0.4286,168,0.4286,0.0,168,0.2262,168,0.2262,0.0
artifacts_py,zorya,0.1,229,0.4279,91,0.3974,91,0.3974,0.0,91,0.2198,91,0.2198,0.0
artifacts_py,zorya,0.2,22,0.2273,14,0.6364,14,0.6364,0.0,14,0.2857,14,0.2857,0.0
artifacts_py,zorya,0.7,22,0.4545,11,0.5,11,0.5,0.0,11,0.4545,11,0.4545,0.0
artifacts_python-MI300X,runpod-mi300x,0.0,1426,0.122,1154,0.8093,1154,0.8093,0.0,211,0.2844,211,0.2844,0.0
