label,n,k,rate,ci_lo,ci_hi
7B en: think_leak,3201,594,0.18556701030927836,0.1724793145107976,0.19940849152727816
7B ja: think_leak,2702,1979,0.732420429311621,0.7154069099543516,0.7487740182761631
7B en: json_valid,3201,2281,0.7125898156825992,0.6966648474852715,0.7280051455510816
7B ja: json_valid,2702,247,0.09141376757957069,0.08111945258279449,0.10286821498649168
7B en: strip_json_valid,3201,2281,0.7125898156825992,0.6966648474852715,0.7280051455510816
7B ja: strip_json_valid,2702,247,0.09141376757957069,0.08111945258279449,0.10286821498649168
7B en: accuracy,2281,529,0.23191582639193337,0.2150549630984935,0.24967813893859772
7B ja: accuracy,247,67,0.27125506072874495,0.21962614668129848,0.3298901074050152
32B: think_leak,600,0,0,0,0.006361701013700706
32B: json_valid,600,584,0.9733333333333334,0.9571240661880865,0.9835201901856102
Qwen3.5 9B: think_leak,359,0,0,0,0.010587155153602396
Qwen3.5 9B: json_valid,359,359,1,0.9894128448463978,1
